Árvore-Resultado 1 - Mmre: 0.26251865736910984, Pred: 0.6111111111111112
Árvore-Resultado 2 - Mmre: 0.2575851888251139, Pred: 0.6111111111111112
Árvore-Resultado 3 - Mmre: 0.2494757365343944, Pred: 0.5555555555555556
Árvore-Resultado 4 - Mmre: 0.26240033693459297, Pred: 0.6111111111111112
Árvore-Resultado 5 - Mmre: 0.2624175321209897, Pred: 0.6111111111111112
Árvore-Resultado 6 - Mmre: 0.2653839303240131, Pred: 0.6666666666666666
Árvore-Resultado 7 - Mmre: 0.25596761416301395, Pred: 0.6111111111111112
Árvore-Resultado 8 - Mmre: 0.2434256173842406, Pred: 0.6111111111111112
Árvore-Resultado 9 - Mmre: 0.2604176513613984, Pred: 0.6111111111111112
Árvore-Resultado 10 - Mmre: 0.25780173125862493, Pred: 0.6111111111111112
Árvore-Resultado 11 - Mmre: 0.25757432225787996, Pred: 0.5555555555555556
Árvore-Resultado 12 - Mmre: 0.26145753478302225, Pred: 0.5555555555555556
Árvore-Resultado 13 - Mmre: 0.2539434304119979, Pred: 0.6111111111111112
Árvore-Resultado 14 - Mmre: 0.26259998593000833, Pred: 0.6666666666666666
Árvore-Resultado 15 - Mmre: 0.24664133976580008, Pred: 0.5555555555555556
Árvore-Resultado 16 - Mmre: 0.2627345009113389, Pred: 0.6111111111111112
Árvore-Resultado 17 - Mmre: 0.2622605998525355, Pred: 0.6666666666666666
Árvore-Resultado 18 - Mmre: 0.22865170805072854, Pred: 0.7222222222222222
Árvore-Resultado 19 - Mmre: 0.26250520367352004, Pred: 0.6666666666666666
Árvore-Resultado 20 - Mmre: 0.2634952276430922, Pred: 0.6111111111111112



Média dos valores de mmre: 0.25696289247777077
