Árvore-Resultado 1 - Mmre: 0.3562389381053325, Pred: 0.5106382978723404
Árvore-Resultado 2 - Mmre: 0.346520481523141, Pred: 0.5106382978723404
Árvore-Resultado 3 - Mmre: 0.35702912443411544, Pred: 0.425531914893617
Árvore-Resultado 4 - Mmre: 0.3585476972664956, Pred: 0.46808510638297873
Árvore-Resultado 5 - Mmre: 0.35076424489403923, Pred: 0.425531914893617
Árvore-Resultado 6 - Mmre: 0.3586138537069036, Pred: 0.40425531914893614
Árvore-Resultado 7 - Mmre: 0.36093464353525023, Pred: 0.44680851063829785
Árvore-Resultado 8 - Mmre: 0.34835794298966466, Pred: 0.48936170212765956
Árvore-Resultado 9 - Mmre: 0.3566821074642034, Pred: 0.425531914893617
Árvore-Resultado 10 - Mmre: 0.3639227398831372, Pred: 0.3617021276595745
Árvore-Resultado 11 - Mmre: 0.36360741778555233, Pred: 0.46808510638297873
Árvore-Resultado 12 - Mmre: 0.35773843992894516, Pred: 0.44680851063829785
Árvore-Resultado 13 - Mmre: 0.35457544472447744, Pred: 0.5106382978723404
Árvore-Resultado 14 - Mmre: 0.35277873390310394, Pred: 0.46808510638297873
Árvore-Resultado 15 - Mmre: 0.36016647675556046, Pred: 0.425531914893617
Árvore-Resultado 16 - Mmre: 0.35275227510056395, Pred: 0.5106382978723404
Árvore-Resultado 17 - Mmre: 0.35072749191600894, Pred: 0.40425531914893614
Árvore-Resultado 18 - Mmre: 0.3491050729529231, Pred: 0.48936170212765956
Árvore-Resultado 19 - Mmre: 0.3208662535582007, Pred: 0.5531914893617021
Árvore-Resultado 20 - Mmre: 0.3588932060019683, Pred: 0.5319148936170213



Média dos valores de mmre: 0.3539411293214795
