Árvore-Resultado 1 - Mmre: 0.39796017544741424, Pred: 0.3333333333333333
Árvore-Resultado 2 - Mmre: 0.39309318532707194, Pred: 0.3333333333333333
Árvore-Resultado 3 - Mmre: 0.39337004160532896, Pred: 0.3333333333333333
Árvore-Resultado 4 - Mmre: 0.39501050352372535, Pred: 0.4
Árvore-Resultado 5 - Mmre: 0.3968672903402834, Pred: 0.4
Árvore-Resultado 6 - Mmre: 0.3942696415224083, Pred: 0.3333333333333333
Árvore-Resultado 7 - Mmre: 0.3933389074814308, Pred: 0.3333333333333333
Árvore-Resultado 8 - Mmre: 0.3925498135206629, Pred: 0.3333333333333333
Árvore-Resultado 9 - Mmre: 0.3814404822174031, Pred: 0.4
Árvore-Resultado 10 - Mmre: 0.39083036154239464, Pred: 0.3333333333333333
Árvore-Resultado 11 - Mmre: 0.3936641410983416, Pred: 0.3333333333333333
Árvore-Resultado 12 - Mmre: 0.39688278575967123, Pred: 0.4
Árvore-Resultado 13 - Mmre: 0.392946554266682, Pred: 0.3333333333333333
Árvore-Resultado 14 - Mmre: 0.3939353027202681, Pred: 0.3333333333333333
Árvore-Resultado 15 - Mmre: 0.39298405096900285, Pred: 0.3333333333333333
Árvore-Resultado 16 - Mmre: 0.3946416004210202, Pred: 0.3333333333333333
Árvore-Resultado 17 - Mmre: 0.3932066586328574, Pred: 0.3333333333333333
Árvore-Resultado 18 - Mmre: 0.3935165474277385, Pred: 0.3333333333333333
Árvore-Resultado 19 - Mmre: 0.3933389074814308, Pred: 0.3333333333333333
Árvore-Resultado 20 - Mmre: 0.3957259838159872, Pred: 0.26666666666666666



Média dos valores de mmre: 0.39347864675605615
