Árvore-Resultado 1 - Mmre: 0.7966059866583981, Pred: 0.07936507936507936
Árvore-Resultado 2 - Mmre: 0.5986828437361867, Pred: 0.19047619047619047
Árvore-Resultado 3 - Mmre: 0.6906501995143798, Pred: 0.09523809523809523
Árvore-Resultado 4 - Mmre: 0.6057529861001227, Pred: 0.19047619047619047
Árvore-Resultado 5 - Mmre: 0.7977970465577215, Pred: 0.07936507936507936
Árvore-Resultado 6 - Mmre: 0.5980180329411415, Pred: 0.19047619047619047
Árvore-Resultado 7 - Mmre: 0.6081964896703272, Pred: 0.12698412698412698
Árvore-Resultado 8 - Mmre: 0.598637209274993, Pred: 0.19047619047619047
Árvore-Resultado 9 - Mmre: 0.60153044349465, Pred: 0.19047619047619047
Árvore-Resultado 10 - Mmre: 0.6005739907937874, Pred: 0.19047619047619047
Árvore-Resultado 11 - Mmre: 0.7993262544461915, Pred: 0.07936507936507936
Árvore-Resultado 12 - Mmre: 0.5985328623965387, Pred: 0.19047619047619047
Árvore-Resultado 13 - Mmre: 0.7891877415410874, Pred: 0.07936507936507936
Árvore-Resultado 14 - Mmre: 0.6464514289171197, Pred: 0.20634920634920634
Árvore-Resultado 15 - Mmre: 0.5976919974413524, Pred: 0.19047619047619047
Árvore-Resultado 16 - Mmre: 0.6293907641114905, Pred: 0.15873015873015872
Árvore-Resultado 17 - Mmre: 0.7998150245034207, Pred: 0.07936507936507936
Árvore-Resultado 18 - Mmre: 0.5905249369963945, Pred: 0.20634920634920634
Árvore-Resultado 19 - Mmre: 0.8013664089281513, Pred: 0.07936507936507936
Árvore-Resultado 20 - Mmre: 0.7967959131350566, Pred: 0.07936507936507936



Média dos valores de mmre: 0.6772764280579255
