Árvore-Resultado 1 - Mmre: 0.450058621720996, Pred: 0.3888888888888889
Árvore-Resultado 2 - Mmre: 0.47070421371000204, Pred: 0.4444444444444444
Árvore-Resultado 3 - Mmre: 0.2771642454207068, Pred: 0.4444444444444444
Árvore-Resultado 4 - Mmre: 0.43186779767115013, Pred: 0.5
Árvore-Resultado 5 - Mmre: 0.462944095924486, Pred: 0.4444444444444444
Árvore-Resultado 6 - Mmre: 0.4455270152209196, Pred: 0.5
Árvore-Resultado 7 - Mmre: 0.4694171703924394, Pred: 0.3333333333333333
Árvore-Resultado 8 - Mmre: 0.4445514770877247, Pred: 0.5
Árvore-Resultado 9 - Mmre: 0.4689827592582807, Pred: 0.3333333333333333
Árvore-Resultado 10 - Mmre: 0.4716984616397258, Pred: 0.4444444444444444
Árvore-Resultado 11 - Mmre: 0.38438137916592585, Pred: 0.3333333333333333
Árvore-Resultado 12 - Mmre: 0.4692725548853561, Pred: 0.3333333333333333
Árvore-Resultado 13 - Mmre: 0.4523560769630089, Pred: 0.5
Árvore-Resultado 14 - Mmre: 0.39947030624520646, Pred: 0.4444444444444444
Árvore-Resultado 15 - Mmre: 0.36461409333980477, Pred: 0.4444444444444444
Árvore-Resultado 16 - Mmre: 0.4215076548847299, Pred: 0.3888888888888889
Árvore-Resultado 17 - Mmre: 0.4692934280785348, Pred: 0.4444444444444444
Árvore-Resultado 18 - Mmre: 0.47031461162793586, Pred: 0.4444444444444444
Árvore-Resultado 19 - Mmre: 0.44512286852440386, Pred: 0.5
Árvore-Resultado 20 - Mmre: 0.4713707870326298, Pred: 0.4444444444444444



Média dos valores de mmre: 0.4370309809396983
