Árvore-Resultado 1 - Mmre: 0.6857539475925386, Pred: 0.12121212121212122
Árvore-Resultado 2 - Mmre: 0.4533252272629144, Pred: 0.21212121212121213
Árvore-Resultado 3 - Mmre: 0.46014253172830555, Pred: 0.15151515151515152
Árvore-Resultado 4 - Mmre: 0.5228634246702626, Pred: 0.21212121212121213
Árvore-Resultado 5 - Mmre: 0.45204224221331757, Pred: 0.21212121212121213
Árvore-Resultado 6 - Mmre: 0.47286845074016787, Pred: 0.2727272727272727
Árvore-Resultado 7 - Mmre: 0.4576535486925067, Pred: 0.18181818181818182
Árvore-Resultado 8 - Mmre: 0.4542640840059263, Pred: 0.2727272727272727
Árvore-Resultado 9 - Mmre: 0.45391741977447553, Pred: 0.21212121212121213
Árvore-Resultado 10 - Mmre: 0.7536780855313617, Pred: 0.21212121212121213
Árvore-Resultado 11 - Mmre: 0.4601194393566283, Pred: 0.21212121212121213
Árvore-Resultado 12 - Mmre: 0.4527485066177364, Pred: 0.2727272727272727
Árvore-Resultado 13 - Mmre: 0.6623806669452647, Pred: 0.21212121212121213
Árvore-Resultado 14 - Mmre: 0.4503462970720951, Pred: 0.24242424242424243
Árvore-Resultado 15 - Mmre: 0.45592940976676544, Pred: 0.2727272727272727
Árvore-Resultado 16 - Mmre: 0.45164578994315313, Pred: 0.30303030303030304
Árvore-Resultado 17 - Mmre: 0.45133560842819187, Pred: 0.21212121212121213
Árvore-Resultado 18 - Mmre: 0.4513648080398542, Pred: 0.24242424242424243
Árvore-Resultado 19 - Mmre: 0.4559857432166676, Pred: 0.2727272727272727
Árvore-Resultado 20 - Mmre: 0.7518198354693407, Pred: 0.24242424242424243



Média dos valores de mmre: 0.5105092533533737
