Árvore-Resultado 1 - Mmre: 0.21279391022770197, Pred: 0.5714285714285714
Árvore-Resultado 2 - Mmre: 0.20179030944971602, Pred: 0.6190476190476191
Árvore-Resultado 3 - Mmre: 0.2047285694403708, Pred: 0.5714285714285714
Árvore-Resultado 4 - Mmre: 0.19300881992232455, Pred: 0.6666666666666666
Árvore-Resultado 5 - Mmre: 0.20983347891766507, Pred: 0.6666666666666666
Árvore-Resultado 6 - Mmre: 0.20192035671523997, Pred: 0.6666666666666666
Árvore-Resultado 7 - Mmre: 0.19670076296462952, Pred: 0.7142857142857143
Árvore-Resultado 8 - Mmre: 0.20221412116815213, Pred: 0.6190476190476191
Árvore-Resultado 9 - Mmre: 0.1950689953190244, Pred: 0.6666666666666666
Árvore-Resultado 10 - Mmre: 0.20850786274338654, Pred: 0.5714285714285714
Árvore-Resultado 11 - Mmre: 0.20280885795619694, Pred: 0.6190476190476191
Árvore-Resultado 12 - Mmre: 0.2027473705144876, Pred: 0.6666666666666666
Árvore-Resultado 13 - Mmre: 0.20581565478567632, Pred: 0.5714285714285714
Árvore-Resultado 14 - Mmre: 0.20121171237080304, Pred: 0.6190476190476191
Árvore-Resultado 15 - Mmre: 0.20561366516742258, Pred: 0.6190476190476191
Árvore-Resultado 16 - Mmre: 0.2060668421740917, Pred: 0.6666666666666666
Árvore-Resultado 17 - Mmre: 0.20637767651438502, Pred: 0.6666666666666666
Árvore-Resultado 18 - Mmre: 0.20505922004588364, Pred: 0.6666666666666666
Árvore-Resultado 19 - Mmre: 0.20280348116277117, Pred: 0.6666666666666666
Árvore-Resultado 20 - Mmre: 0.21414738582031095, Pred: 0.6666666666666666



Média dos valores de mmre: 0.20396095266901199
