Árvore-Resultado 1 - Mmre: 0.6325744989500376, Pred: 0.18181818181818182
Árvore-Resultado 2 - Mmre: 0.6359146321664164, Pred: 0.21212121212121213
Árvore-Resultado 3 - Mmre: 0.6331259136821473, Pred: 0.21212121212121213
Árvore-Resultado 4 - Mmre: 0.6325654540562088, Pred: 0.18181818181818182
Árvore-Resultado 5 - Mmre: 0.633100517762558, Pred: 0.18181818181818182
Árvore-Resultado 6 - Mmre: 0.6360737539278458, Pred: 0.21212121212121213
Árvore-Resultado 7 - Mmre: 0.6352256960140709, Pred: 0.21212121212121213
Árvore-Resultado 8 - Mmre: 0.6340329828346255, Pred: 0.18181818181818182
Árvore-Resultado 9 - Mmre: 0.6362442071524874, Pred: 0.21212121212121213
Árvore-Resultado 10 - Mmre: 0.6205388443435629, Pred: 0.18181818181818182
Árvore-Resultado 11 - Mmre: 0.6362183420253549, Pred: 0.21212121212121213
Árvore-Resultado 12 - Mmre: 0.6348058794176843, Pred: 0.21212121212121213
Árvore-Resultado 13 - Mmre: 0.6311408501735454, Pred: 0.21212121212121213
Árvore-Resultado 14 - Mmre: 0.6338771139638475, Pred: 0.21212121212121213
Árvore-Resultado 15 - Mmre: 0.6336007864429599, Pred: 0.21212121212121213
Árvore-Resultado 16 - Mmre: 0.6355213499553212, Pred: 0.21212121212121213
Árvore-Resultado 17 - Mmre: 0.633476797878608, Pred: 0.21212121212121213
Árvore-Resultado 18 - Mmre: 0.6361480620160792, Pred: 0.21212121212121213
Árvore-Resultado 19 - Mmre: 0.6326405883762412, Pred: 0.18181818181818182
Árvore-Resultado 20 - Mmre: 0.6352442543837107, Pred: 0.21212121212121213



Média dos valores de mmre: 0.6336035262761657
