dataset;num resultado;mmre;pred;tempo
Albrecht and Gaffney;4;0.6484170039905371;0.043478260869565216;383ms
Albrecht and Gaffney;5;0.5940934066978303;0.30434782608695654;1757ms
Albrecht and Gaffney;6;0.482367100627315;0.2608695652173913;380ms
Albrecht and Gaffney;7;0.8029707148068369;0.043478260869565216;848ms
Albrecht and Gaffney;8;0.5727269076466929;0.08695652173913043;573ms
Albrecht and Gaffney;9;0.48372063510518143;0.4782608695652174;377ms
Albrecht and Gaffney;10;0.5488855599160871;0.13043478260869565;315ms
Albrecht and Gaffney;11;0.46290721040098487;0.30434782608695654;1170ms
Albrecht and Gaffney;12;0.5919244874487943;0.2608695652173913;664ms
Albrecht and Gaffney;13;0.4543471231809374;0.34782608695652173;482ms
Albrecht and Gaffney;14;0.49203745183281944;0.2608695652173913;466ms
Albrecht and Gaffney;15;0.46533742572442266;0.30434782608695654;1078ms
Albrecht and Gaffney;16;0.528158532493464;0.17391304347826086;882ms
Albrecht and Gaffney;17;0.5348097794237711;0.21739130434782608;469ms
Albrecht and Gaffney;18;0.4874761978903729;0.17391304347826086;309ms
Albrecht and Gaffney;19;0.4518532689136663;0.34782608695652173;1041ms
Albrecht and Gaffney;20;0.4814847877699822;0.2608695652173913;303ms
Albrecht and Gaffney;21;0.5537751604797625;0.391304347826087;1043ms
Albrecht and Gaffney;22;0.4855383289223538;0.2608695652173913;544ms
Albrecht and Gaffney;23;0.5941651845834334;0.30434782608695654;253ms
Albrecht and Gaffney;24;0.45276054550142797;0.34782608695652173;485ms
Albrecht and Gaffney;25;0.452246100688081;0.391304347826087;1073ms
Albrecht and Gaffney;26;0.5421731746342227;0.391304347826087;346ms
Albrecht and Gaffney;27;0.5142701092941263;0.34782608695652173;281ms
Albrecht and Gaffney;28;0.48441799950274167;0.2608695652173913;486ms
Albrecht and Gaffney;29;0.45220093600565764;0.391304347826087;1294ms
Albrecht and Gaffney;30;0.44303213919196355;0.34782608695652173;1169ms
Bailey and Basili;1;0.26264331372191757;0.6111111111111112;229ms
Bailey and Basili;2;0.2634952276430922;0.6111111111111112;136ms
Bailey and Basili;3;0.2625773987339907;0.6111111111111112;188ms
Bailey and Basili;4;0.23201960288533582;0.7222222222222222;883ms
Bailey and Basili;5;0.26093502824543324;0.6111111111111112;339ms
Bailey and Basili;6;0.24787308119748555;0.6111111111111112;1160ms
Bailey and Basili;7;0.2603627613733726;0.6111111111111112;407ms
Bailey and Basili;8;0.23092436406771696;0.6666666666666666;1300ms
Bailey and Basili;9;0.2628146022595486;0.6111111111111112;129ms
Bailey and Basili;10;0.26264331372191757;0.6111111111111112;177ms
Bailey and Basili;11;0.2628146022595486;0.6111111111111112;118ms
Bailey and Basili;12;0.2634952276430922;0.6111111111111112;110ms
Bailey and Basili;13;0.2624041954220732;0.6666666666666666;792ms
Bailey and Basili;14;0.25379213063627865;0.6666666666666666;370ms
Bailey and Basili;15;0.2430376357408612;0.6111111111111112;844ms
Bailey and Basili;16;0.2629458138923814;0.6111111111111112;200ms
Bailey and Basili;17;0.24543319692431245;0.7222222222222222;816ms
Bailey and Basili;18;0.2631812769284003;0.6111111111111112;169ms
Bailey and Basili;19;0.23911429548969293;0.7222222222222222;345ms
Bailey and Basili;20;0.2548748117789048;0.6111111111111112;627ms
Bailey and Basili;21;0.2608550074773274;0.6666666666666666;401ms
Bailey and Basili;22;0.26264331372191757;0.6111111111111112;155ms
Bailey and Basili;23;0.23898429286819362;0.6111111111111112;829ms
Bailey and Basili;24;0.2539526797499633;0.5555555555555556;895ms
Bailey and Basili;25;0.26087995623508353;0.6666666666666666;356ms
Bailey and Basili;26;0.2624258765660334;0.6111111111111112;220ms
Bailey and Basili;27;0.2522876652469899;0.6666666666666666;1437ms
Bailey and Basili;28;0.26201016251512343;0.5555555555555556;214ms
Bailey and Basili;29;0.2531051075832738;0.6111111111111112;857ms
Bailey and Basili;30;0.2625381843354025;0.6111111111111112;162ms
Belady and Lehman;1;0.45981894842060744;0.24242424242424243;1515ms
Belady and Lehman;2;0.4580967260103207;0.21212121212121213;1450ms
Belady and Lehman;3;0.4510801510633791;0.2727272727272727;940ms
Belady and Lehman;4;0.7556142533224676;0.24242424242424243;1351ms
Belady and Lehman;5;0.44983212838902675;0.2727272727272727;1284ms
Belady and Lehman;6;0.46785883535710404;0.24242424242424243;1879ms
Belady and Lehman;7;0.4519423293335054;0.2727272727272727;756ms
Belady and Lehman;8;0.4611868426424078;0.2727272727272727;919ms
Belady and Lehman;9;0.45109360824463457;0.2727272727272727;2257ms
Belady and Lehman;10;0.4516484557371155;0.30303030303030304;517ms
Belady and Lehman;11;0.7566650403568702;0.24242424242424243;841ms
Belady and Lehman;12;0.49648819802981775;0.21212121212121213;1098ms
Belady and Lehman;13;0.7367843622709159;0.21212121212121213;2069ms
Belady and Lehman;14;0.45079028544298283;0.2727272727272727;735ms
Belady and Lehman;15;0.4633309728512818;0.18181818181818182;3097ms
Belady and Lehman;16;0.5847389126356369;0.09090909090909091;3824ms
Belady and Lehman;17;0.4599063410967939;0.24242424242424243;1831ms
Belady and Lehman;18;0.4597855123197377;0.24242424242424243;2135ms
Belady and Lehman;19;0.7568393046666199;0.21212121212121213;1704ms
Belady and Lehman;20;0.45343321448516805;0.15151515151515152;642ms
Belady and Lehman;21;0.45240589187136493;0.15151515151515152;652ms
Belady and Lehman;22;0.4511201900612405;0.24242424242424243;947ms
Belady and Lehman;23;0.75634554931339;0.24242424242424243;1247ms
Belady and Lehman;24;0.4516199597189447;0.30303030303030304;1175ms
Belady and Lehman;25;0.4523353681530252;0.24242424242424243;2417ms
Belady and Lehman;26;0.46540630263283184;0.24242424242424243;1093ms
Belady and Lehman;27;0.45173178865815533;0.24242424242424243;925ms
Belady and Lehman;28;0.4515226578639301;0.24242424242424243;588ms
Belady and Lehman;29;0.46669347476531625;0.24242424242424243;2893ms
Belady and Lehman;30;0.4657330855301742;0.24242424242424243;1262ms
Boehm;1;0.6029995554479735;0.1746031746031746;7612ms
Boehm;2;0.6074994185155516;0.15873015873015872;1134ms
Boehm;3;0.6073177516102612;0.15873015873015872;1647ms
Boehm;4;0.7981045720695734;0.047619047619047616;2458ms
